Status,PartNumber,SIM,Zipcode,PIN,Cell Tech,Brand,Qunatity,CardType,CVV
New,SMAPIXG64GYP5,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,SIMPLE_MOBILE,1,Visa,123
New,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP0025TT,GSM,SIMPLE_MOBILE,10,Visa,123
New,SMZEZ557BGP5ET6,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,2,Visa,123
New,PHSM64PSIMT5B,SM64PSIMT5B,33178,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,2,American Express,1234
New,PHSM64PSIMT5MB,SM64PSIMT5B,33178,SMNAPP0050BBUNL,GSM,SIMPLE_MOBILE,1,Visa,123
New,SMZEZ557BGR,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,3,Visa,123
New,SMSAN950U1GP5ET,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,2,Visa,123
New,SMAPI8G64SVP,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,1,Discover,123
New,SMAPI8PG64GYP5P,SM128PSIMT5N,33178,SMNAPP30060,GSM,SIMPLE_MOBILE,2,Visa,123
New,SMLML413DGFDP5,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,1,Discover,123
New,SMSAG965U1GDG,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,2,Visa,123
New,SMSAG960U1GKP5,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SIMPLE_MOBILE,1,Discover,123
New,SMZEZ610DGP,SM128PSIMT5N,33178,SMNAPP30060,GSM,SIMPLE_MOBILE,2,Visa,123
New,STZEZ558VCWHP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,2,Visa,123
New,STAPIXC64SVR.2,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,2,Visa,123
New,STAPIXG64GY,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,1,Visa,123
New,STSAG955UC2R,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,1,Visa,123
New,STSAG950UCGYRCS,TF256PSIMV9N,33178,NTAPPMP00060ILD,CDMA,STRAIGHT_TALK,1,Visa,123
New,STZEZ750C,,33178,NTNMP00045,CDMA,STRAIGHT_TALK,1,Visa,123
New,STLG306GWHP,TF128SIMT5,33178,STAPP01500,GSM,STRAIGHT_TALK,1,Visa,123
New,STHUH892CP,TF256PSIMV9RM,33178,NTPMP00060ILD,CDMA,STRAIGHT_TALK,1,Visa,123
New,STHUH258CP,,33178,STNHPAPPUNLILD60,CDMA,STRAIGHT_TALK,4,American Express,1234
New,STSAN950U1CP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,1,Visa,123
New,STAPI8G64GYR4,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,1,Visa,123
New,STAPI8C64GYR.2,TF256PSIMV9N,33178,NTAPPMP000451Y,CDMA,STRAIGHT_TALK,5,Visa,123
New,STAPI8PG64GY2R4,TF128PSIMC4N,33178,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,9,Visa,123
New,STAPI8PC64SVPWP.2,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,4,American Express,1234
New,STLML413DGRCS4,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,1,Visa,123
New,STLML413DCR,TF256PSIMV9N,33178,NTAPPMP000451Y,CDMA,STRAIGHT_TALK,5,Visa,123
New,STSAG965U1GWHP4,TF128PSIMC4N,33178,STAPP20055,GSM,STRAIGHT_TALK,1,Visa,123
